"","y","V1","V2","V3","V4","width","peakdist","frame","file","try","peakNum","mean(width)","max(width)"
"236",244,0.302038713540773,32,11,37,26,NA,3,183,249,3,32.6428571428571,37
"237",244,0.396763145417769,50,37,56,19,18,3,183,267,1,22.1777777777778,57
"238",244,0.377770328338098,68,56,74,18,18,3,183,285,2,45.6,146
"239",244,0.317208341458281,77,74,79,5,9,3,183,294,2,45.6,146
"240",244,0.544547210162185,86,79,96,17,9,3,183,303,2,45.6,146
"241",244,0.294062720880786,101,96,149,53,15,3,183,318,2,45.6,146
"242",245,0.301981682737858,32,11,37,26,NA,3,183,249,3,32.6428571428571,37
"243",245,0.454005031606362,50,37,56,19,18,3,183,267,1,22.1777777777778,57
"244",245,0.390000106713399,68,56,75,19,18,3,183,285,2,45.6,146
"245",245,0.31605590876119,76,75,79,4,8,3,183,293,2,45.6,146
"246",245,0.589823613005002,86,79,96,17,10,3,183,303,2,45.6,146
"247",245,0.289366370937969,101,96,150,54,15,3,183,318,2,45.6,146
"248",246,0.297676634858774,32,11,37,26,NA,3,183,249,3,32.6428571428571,37
"249",246,0.529934681204571,50,37,57,20,18,3,183,267,1,22.1777777777778,57
"250",246,0.405779073854491,68,57,75,18,18,3,183,285,2,45.6,146
"251",246,0.318031491463029,76,75,79,4,8,3,183,293,2,45.6,146
"252",246,0.639552807601779,86,79,97,18,10,3,183,303,2,45.6,146
"253",246,0.275546964546755,101,97,174,77,15,3,183,318,2,45.6,146
"254",247,0.288549121631347,32,11,37,26,NA,3,183,249,3,32.6428571428571,37
"255",247,0.590872245172601,50,37,57,20,18,3,183,267,1,22.1777777777778,57
"256",247,0.421578971510428,68,57,78,21,18,3,183,285,2,45.6,146
"257",247,0.68042317308719,86,78,98,20,18,3,183,303,2,45.6,146
"258",247,0.260275533208129,101,98,174,76,15,3,183,318,2,45.6,146
"259",248,0.280085621181571,32,11,37,26,NA,3,183,249,3,32.6428571428571,37
"260",248,0.61573381253555,50,37,57,20,18,3,183,267,1,22.1777777777778,57
"261",248,0.431845034893402,68,57,78,21,18,3,183,285,2,45.6,146
"262",248,0.705176110042895,86,78,98,20,18,3,183,303,2,45.6,146
"263",248,0.248528335208185,101,98,174,76,15,3,183,318,2,45.6,146
"264",249,0.253471362590828,32,1,37,36,NA,3,183,249,3,32.6428571428571,37
"265",249,0.653776809108768,50,37,58,21,18,3,183,267,1,22.1777777777778,57
"266",249,0.452965870987037,68,58,78,20,18,3,183,285,2,45.6,146
"267",249,0.694391574929963,86,78,177,99,18,3,183,303,2,45.6,146
"268",250,0.242588995685921,32,1,36,35,NA,3,183,249,3,32.6428571428571,37
"269",250,0.663538057474361,50,36,58,22,18,3,183,267,1,22.1777777777778,57
"270",250,0.326855315410332,59,58,61,3,9,3,183,276,1,22.1777777777778,57
"271",250,0.472547199482539,68,61,78,17,9,3,183,285,2,45.6,146
"272",250,0.675308734612935,86,78,178,100,18,3,183,303,2,45.6,146
"273",251,0.229344904458763,33,1,36,35,NA,3,183,250,3,32.6428571428571,37
"274",251,0.687631356832267,50,36,58,22,17,3,183,267,1,22.1777777777778,57
"275",251,0.335426355155682,59,58,61,3,9,3,183,276,1,22.1777777777778,57
"276",251,0.501916358244343,68,61,78,17,9,3,183,285,2,45.6,146
"277",251,0.650618303708879,86,78,178,100,18,3,183,303,2,45.6,146
"278",252,0.223161260448681,33,1,36,35,NA,3,183,250,3,32.6428571428571,37
"279",252,0.730845414914144,50,36,58,22,17,3,183,267,1,22.1777777777778,57
"280",252,0.541867544916757,68,58,78,20,18,3,183,285,2,45.6,146
"281",252,0.622580114654259,86,78,179,101,18,3,183,303,2,45.6,146
"282",253,0.220086481505702,33,1,36,35,NA,3,183,250,3,32.6428571428571,37
"283",253,0.788129436964819,50,36,58,22,17,3,183,267,1,22.1777777777778,57
"284",253,0.588099159029376,68,58,78,20,18,3,183,285,2,45.6,146
"285",253,0.59572922612761,85,78,180,102,17,3,183,302,2,45.6,146
"286",254,0.214986049235437,33,1,36,35,NA,3,183,250,3,32.6428571428571,37
"287",254,0.844633776502538,50,36,58,22,17,3,183,267,1,22.1777777777778,57
"288",254,0.679655504937605,68,58,78,20,18,3,183,285,2,45.6,146
"289",254,0.5541171039021,85,78,181,103,17,3,183,302,2,45.6,146
"290",255,0.20506652444719,33,1,35,34,NA,3,183,250,3,32.6428571428571,37
"291",255,0.884488191729544,50,35,58,23,17,3,183,267,1,22.1777777777778,57
"292",255,0.846361331512526,68,58,79,21,18,3,183,285,2,45.6,146
"293",255,0.503507341060419,85,79,181,102,17,3,183,302,2,45.6,146
"294",256,0.905151014534313,50,1,58,57,NA,3,183,267,1,22.1777777777778,57
"295",256,0.96680249304575,68,58,79,21,18,3,183,285,2,45.6,146
"296",256,0.469012624272488,85,79,181,102,17,3,183,302,2,45.6,146
"297",257,0.200240158507588,33,1,35,34,NA,3,183,250,3,32.6428571428571,37
"298",257,0.908158156013191,50,35,59,24,17,3,183,267,1,22.1777777777778,57
"299",257,1.01231403437373,68,59,80,21,18,3,183,285,2,45.6,146
"300",257,0.423342259037736,85,80,99,19,17,3,183,302,2,45.6,146
"301",258,0.86618284980973,51,35,58,23,NA,3,183,268,1,22.1777777777778,57
"302",258,1.02107992688818,69,58,81,23,18,3,183,286,2,45.6,146
"303",258,0.392795391094671,85,81,100,19,16,3,183,302,2,45.6,146
"304",259,0.773879322619259,51,1,58,57,NA,3,183,268,1,22.1777777777778,57
"305",259,1.02824766271219,68,58,81,23,17,3,183,285,2,45.6,146
"306",259,0.377420893117876,85,81,184,103,17,3,183,302,2,45.6,146
"307",260,0.660027501011975,51,1,58,57,NA,3,183,268,1,22.1777777777778,57
"308",260,1.02375335804549,68,58,81,23,17,3,183,285,2,45.6,146
"309",260,0.374902467582065,85,81,184,103,17,3,183,302,2,45.6,146
"310",261,0.590485760402657,51,1,57,56,NA,3,183,268,1,22.1777777777778,57
"311",261,1.02398804831921,68,57,81,24,17,3,183,285,2,45.6,146
"312",261,0.362569284388068,85,81,168,87,17,3,183,302,2,45.6,146
"313",262,0.566729161771131,51,1,57,56,NA,3,183,268,1,22.1777777777778,57
"314",262,1.00820711458096,68,57,81,24,17,3,183,285,2,45.6,146
"315",262,0.350613481333439,85,81,168,87,17,3,183,302,2,45.6,146
"316",263,0.207420384575168,34,1,35,34,NA,3,183,251,3,32.6428571428571,37
"317",263,0.525802165073586,51,35,57,22,17,3,183,268,1,22.1777777777778,57
"318",263,0.997663148851947,68,57,81,24,17,3,183,285,2,45.6,146
"319",263,0.336236524731946,85,81,168,87,17,3,183,302,2,45.6,146
"320",264,0.209004539565862,34,1,35,34,NA,3,183,251,3,32.6428571428571,37
"321",264,0.474692135520171,51,35,56,21,17,3,183,268,1,22.1777777777778,57
"322",264,0.978551203395696,68,56,81,25,17,3,183,285,2,45.6,146
"323",264,0.318121783986373,85,81,168,87,17,3,183,302,2,45.6,146
"324",265,0.215896952691264,33,1,36,35,NA,3,183,250,3,32.6428571428571,37
"325",265,0.409791760842215,51,36,56,20,18,3,183,268,1,22.1777777777778,57
"326",265,0.935229819859724,68,56,83,27,17,3,183,285,2,45.6,146
"327",265,0.291963899302527,86,83,169,86,18,3,183,303,2,45.6,146
"328",266,0.215844064396945,33,1,36,35,NA,3,183,250,3,32.6428571428571,37
"329",266,0.379316155437813,51,36,56,20,18,3,183,268,1,22.1777777777778,57
"330",266,0.812530760542001,68,56,84,28,17,3,183,285,2,45.6,146
"331",266,0.279331487159467,87,84,169,85,19,3,183,304,2,45.6,146
"332",267,0.215099446900949,34,1,36,35,NA,3,183,251,3,32.6428571428571,37
"333",267,0.341721598441754,51,36,56,20,17,3,183,268,1,22.1777777777778,57
"334",267,0.659756522117759,68,56,85,29,17,3,183,285,2,45.6,146
"335",267,0.260242198631175,87,85,169,84,19,3,183,304,2,45.6,146
"336",268,0.214567711216788,34,1,36,35,NA,3,183,251,3,32.6428571428571,37
"337",268,0.314385426131117,51,36,55,19,17,3,183,268,1,22.1777777777778,57
"338",268,0.555392703217785,68,55,85,30,17,3,183,285,2,45.6,146
"339",268,0.24519009231154,88,85,109,24,20,3,183,305,2,45.6,146
"340",269,0.211863279530772,33,1,36,35,NA,3,183,250,3,32.6428571428571,37
"341",269,0.292939845616001,51,36,55,19,18,3,183,268,1,22.1777777777778,57
"342",269,0.479480211592868,68,55,86,31,17,3,183,285,2,45.6,146
"343",269,0.233526102925557,89,86,109,23,21,3,183,306,2,45.6,146
"344",270,0.210935574205281,33,1,37,36,NA,3,183,250,3,32.6428571428571,37
"345",270,0.269434595714151,51,37,55,18,18,3,183,268,1,22.1777777777778,57
"346",270,0.426252895700362,68,55,86,31,17,3,183,285,2,45.6,146
